Total symbols after adding indices: 105
  شاخص کل              | شاخص کل                        | Index
  شاخص کل سهم          | Total Stock Index              | Index
  شاخص برابر وزن       | Total Equal Weight Index       | Index
  شاخص صنعت            | Industry Indices               | Index
  ثتران                | Symbol_ثتران                   | Stock
  اوان3                | Symbol_اوان3                   | Stock
  کیسون                | Symbol_کیسون                   | Stock
  زنجان                | Symbol_زنجان                   | Stock
  غمارگ                | Symbol_غمارگ                   | Stock
  بهپاک                | Symbol_بهپاک                   | Stock
  میهن                 | Symbol_میهن                    | Stock
  میهن3                | Symbol_میهن3                   | Stock
  مارون                | Symbol_مارون                   | Stock
  مارون3               | Symbol_مارون3                  | Stock
  نیرو                 | Symbol_نیرو                    | Stock
  آینده                | Symbol_آینده                   | Stock
  حآسا3                | Symbol_حآسا3                   | Stock
  تکنار                | Symbol_تکنار                   | Stock
  قشیر                 | Symbol_قشیر                    | Stock
  بپاس                 | Symbol_بپاس                    | Stock
  بپاس3                | Symbol_بپاس3                   | Stock
  کشرق                 | Symbol_کشرق                    | Stock
  کرمان                | Symbol_کرمان                   | Stock
  توریل                | Symbol_توریل                   | Stock
  توریل3               | Symbol_توریل3                  | Stock
  سکارون               | Symbol_سکارون                  | Stock
  شمواد                | Symbol_شمواد                   | Stock
  شپلی                 | Symbol_شپلی                    | Stock
  شپلی2                | Symbol_شپلی2                   | Stock
  دی                   | Symbol_دی                      | Stock
  زنگان                | Symbol_زنگان                   | Stock
  بمپنا                | Symbol_بمپنا                   | Stock
  واحصا                | Symbol_واحصا                   | Stock
  واحیا                | Symbol_واحیا                   | Stock
  وملت                 | Symbol_وملت                    | Stock
  خکاوه                | Symbol_خکاوه                   | Stock
  فزرین                | Symbol_فزرین                   | Stock
  لکما                 | Symbol_لکما                    | Stock
  کابگن                | Symbol_کابگن                   | Stock
  لازما                | Symbol_لازما                   | Stock
  لپیام                | Symbol_لپیام                   | Stock
  ولتجار               | Symbol_ولتجار                  | Stock
  سمایه                | Symbol_سمایه                   | Stock
  خصدرا                | Symbol_خصدرا                   | Stock
  شفارا                | Symbol_شفارا                   | Stock
  کهرام                | Symbol_کهرام                   | Stock
  ثغرب                 | Symbol_ثغرب                    | Stock
  شلیا                 | Symbol_شلیا                    | Stock
  قشرین                | Symbol_قشرین                   | Stock
  لخانه                | Symbol_لخانه                   | Stock
  وشهر                 | Symbol_وشهر                    | Stock
  شپاس                 | Symbol_شپاس                    | Stock
  شرانل                | Symbol_شرانل                   | Stock
  خودرو                | Symbol_خودرو                   | Stock
  ممسنی                | Symbol_ممسنی                   | Stock
  سجام                 | Symbol_سجام                    | Stock
  سنوین                | Symbol_سنوین                   | Stock
  بمیلا                | Symbol_بمیلا                   | Stock
  سخواف                | Symbol_سخواف                   | Stock
  نوین                 | Symbol_نوین                    | Stock
  وسالت                | Symbol_وسالت                   | Stock
  آریان                | Symbol_آریان                   | Stock
  وثنو                 | Symbol_وثنو                    | Stock
  سباقر                | Symbol_سباقر                   | Stock
  شکبیر                | Symbol_شکبیر                   | Stock
  وشمال                | Symbol_وشمال                   | Stock
  آرمان                | Symbol_آرمان                   | Stock
  سامان                | Symbol_سامان                   | Stock
  غشوکو                | Symbol_غشوکو                   | Stock
  ثعتما                | Symbol_ثعتما                   | Stock
  سدبیر                | Symbol_سدبیر                   | Stock
  قجام                 | Symbol_قجام                    | Stock
  کازرو                | Symbol_کازرو                   | Stock
  شلرد                 | Symbol_شلرد                    | Stock
  فلات                 | Symbol_فلات                    | Stock
  وکادو                | Symbol_وکادو                   | Stock
  فالوم                | Symbol_فالوم                   | Stock
  فن آوا               | Symbol_فن آوا                  | Stock
  خفناور               | Symbol_خفناور                  | Stock
  فبیرا                | Symbol_فبیرا                   | Stock
  کقزوی                | Symbol_کقزوی                   | Stock
  وآرین                | Symbol_وآرین                   | Stock
  وملل                 | Symbol_وملل                    | Stock
  دهدشت                | Symbol_دهدشت                   | Stock
  ورازی                | Symbol_ورازی                   | Stock
  سفاسی                | Symbol_سفاسی                   | Stock
  حبندر                | Symbol_حبندر                   | Stock
  دحاوی                | Symbol_دحاوی                   | Stock
  غشهداب               | Symbol_غشهداب                  | Stock
  قچار                 | Symbol_قچار                    | Stock
  حرهشا                | Symbol_حرهشا                   | Stock
  شاوان                | Symbol_شاوان                   | Stock
  گکیش                 | Symbol_گکیش                    | Stock
  وتعاون               | Symbol_وتعاون                  | Stock
  وتعاون3              | Symbol_وتعاون3                 | Stock
  دشیری                | Symbol_دشیری                   | Stock
  بساما                | Symbol_بساما                   | Stock
  ولراز                | Symbol_ولراز                   | Stock
  ثنظام                | Symbol_ثنظام                   | Stock
  قنقش                 | Symbol_قنقش                    | Stock
  بایکا                | Symbol_بایکا                   | Stock
  قیستو                | Symbol_قیستو                   | Stock
  فسا                  | Symbol_فسا                     | Stock
  کباده                | Symbol_کباده                   | Stock
  فولاد                | فولاد                          | Stock
